node,trees
366610400,5
366610403,1
1202432362,3
61515177,2
2931910882,6
61341317,3
1958749767,3
61376119,10
2353642707,1
61385856,3
61469330,1
1545071815,11
4777491240,1
4777491223,5
1196977536,1
61494915,6
61501279,3
61341725,7
61341614,9
1196976901,2
61363891,2
61340905,1
61588044,3
1905377882,8
2931862301,3
1905377887,8
61340913,6
1905377893,19
61585844,2
61341319,1
61341318,4
345445637,1
61341736,4
61352358,2
61354255,3
2300348390,1
61519801,2
61341689,1
5846418181,8
5599241949,1
5736249069,5
5265725775,3
5736249070,16
61342426,10
61471576,3
61342086,5
5846418182,3
61585008,1
61355687,1
3990568304,1
6755626258,13
6755626256,2
1159803209,2
61356471,10
6543322086,8
4640355096,4
4640355093,11
6755626259,2
4071979089,1
61356470,6
5265725770,1
61350421,17
6543317484,6
4776915850,28
4776915856,3
4776915541,8
4776915546,7
996932935,3
4776915540,25
2931897931,5
4776915569,10
4776915602,2
4776915581,3
4776915877,3
6928723917,42
61486013,3
5757110023,3
4776915876,6
4777491314,14
2381946702,3
61445356,2
2381946703,3
61501767,1
4800607122,2
4777491221,1
4777491225,2
4776915875,7
61365706,6
621527742,6
1534948634,11
6928723907,4
4800597518,18
3005375051,1
4800607121,3
5514837937,4
5159212511,2
61414437,14
6470503300,4
4800597511,2
6928723911,1
61340764,2
4800597513,1
4800597517,2
4777491740,7
518079730,5
7011717433,5
7011717428,2
5456624716,4
7009884015,2
2931979659,4
3005384979,2
7011717432,6
2931979654,1
7011717434,9
61374176,10
61414757,6
61341714,8
1905377889,16
5456624711,5
61341291,4
2931979655,48
3005131960,91
6755678645,7
61342428,6
6755678648,4
61342477,9
61503308,4
61341713,1
61341941,1
61444259,4
621020082,1
989059337,23
989059279,5
61350419,11
61342912,11
6755387684,3
3005131970,70
61342741,4
6755387683,8
4084171395,1
61590165,30
6755579274,8
61362415,1
61486139,1
2981747661,2
4082257532,4
4084171391,1
4084171389,1
4082257526,1
61362422,2
4750922722,2
6745406444,9
6745406441,3
6745406442,3
6745406447,9
61415427,6
61342554,3
4084161284,12
61342556,1
6745406443,3
61342548,3
5456527918,3
2981747633,2
2981747653,4
4084161273,5
61479672,8
61350736,20
6745406440,1
6755410985,1
61444557,12
5456527917,2
61360764,2
61342949,19
61355643,8
61410940,12
7066533400,5
61360766,1
7066533402,2
4750922724,4
61520728,5
6755197342,4
5424543436,6
61483751,4
5668963316,9
5456627914,3
5424543435,3
2296606027,1
989059323,12
989059353,6
989059486,7
989059409,4
5424528218,19
989059453,5
5424543441,17
5424543433,4
5424528213,2
5424543440,4
5424528212,1
989059293,2
6755426729,63
61362409,11
61342462,3
61342439,3
61367213,17
6755426734,6
61342489,9
6540357013,5
6540357007,2
1769090891,23
322648043,4
1629873595,38
6540357015,1
3990569498,3
6540251582,2
3051041198,1
3051043395,7
6542726530,20
3990568353,5
3990568354,10
3990569266,7
6540806755,3
6542726534,9
5674262614,3
6542726529,2
1038897344,19
3990569588,2
61516818,6
5674261583,3
3990569574,3
4257809801,2
1012683527,2
3990569581,2
1012683529,6
61505139,2
3990569265,2
3990569489,4
6540742185,3
3990568337,7
6540357036,11
3990568340,1
6540728537,2
3990568341,7
6540728538,7
1618400698,2
3990568345,2
3990569548,13
3990569556,15
3990568350,8
6540357035,15
6540728557,3
3990568336,13
3990569488,8
3990568342,2
6540728539,3
3990568346,8
3990568347,4
6540728542,2
2446103767,1
2446081562,7
3990568261,3
4779707242,20
4779704499,5
4779704510,9
6542726542,4
4779707231,6
2446081553,6
6854335304,1
6540728543,3
3990568344,2
1618400687,3
1618400686,5
6540728535,4
6540728536,1
3990569502,10
3990569503,10
6540251573,9
6540806766,1
3990569552,15
3990569562,13
6540728530,6
1618400696,2
3990568325,9
3990568324,11
6540357046,13
3990568329,8
3990568343,10
6540357037,13
3990568339,10
6540251572,5
3990569501,4
5264309592,5
3990569499,5
3990569500,5
6540251571,8
3990569564,3
3990568264,10
3990568270,7
3990568269,19
4779704498,3
3990568265,8
2504150373,6
3990569549,5
3990569553,2
3990569566,1
4779707243,8
61551854,6
3990568334,20
3990568333,10
6540742191,2
3990568335,6
6540728546,2
3990568332,6
6540728545,2
3990568327,5
6540251574,8
6540251562,16
3990568328,22
3990568338,8
3990569504,12
3990569513,9
3990569510,15
6540251555,2
3990569505,9
6540251560,4
3990568326,5
3990569543,2
3990569542,29
3990569540,1
3990568268,9
61455601,10
3990568323,7
3990568322,8
3990568318,10
6540357044,17
3990568315,10
3990568314,9
6540728560,3
3990568312,8
6540357045,16
6540357038,15
3990568317,8
3990568330,8
3990568321,4
6540728547,3
6540357005,8
3990568313,5
3990569507,10
3990569521,15
3990568320,13
61351222,9
3990569509,9
6540251559,4
3990569508,6
3990569511,16
61501307,1
3990569514,15
3990568331,3
6540251561,1
6540728582,3
3990568316,9
6540251563,4
3990569512,7
3990569517,13
3990569506,10
5264298223,2
6540357009,1
3990569541,5
3990568272,4
3990568278,9
6540806759,4
3990568310,14
6540806760,1
3990568309,8
345437341,22
5206263322,11
3990568319,12
6540251564,10
6540279186,5
3990569523,11
3990569516,13
3990569526,6
3990569515,13
1132438861,14
3990569525,3
6540251566,5
6540251583,1
5206263321,4
3990569520,8
5264302565,5
3990569518,3
6540251565,5
258955845,2
1132394775,8
258955846,2
