,Name,Exercise-Needs,Height
0,Small Size/Low Energy Dog,2,10
1,Medium Size/Moderate Energy Dog,3,16
2,Large Size/High Energy Dog,4,22
3,afador,4,20
4,affenpinscher,4,9
5,afghan-hound,4,24
6,airedale-terrier,5,21
7,akbash,2,27
8,akita,4,24
9,alaskan-klee-kai,4,13
10,alaskan-malamute,5,23
11,american-bulldog,4,20
12,american-english-coonhound,5,23
13,american-eskimo-dog,4,15
14,american-foxhound,5,21
15,american-leopard-hound,4,21
16,american-pit-bull-terrier,5,17
17,american-pugabull,4,12
18,american-staffordshire-terrier,4,16
19,american-water-spaniel,4,15
20,anatolian-shepherd-dog,3,27
21,appenzeller-sennenhunde,4,19
22,auggie,5,10
23,aussiedoodle,5,10
24,aussiepom,4,11
25,australian-cattle-dog,5,17
26,australian-kelpie,4,15
27,australian-retriever,4,19
28,australian-shepherd,5,18
29,australian-shepherd-husky,5,18
30,australian-shepherd-lab-mix,5,22
31,australian-shepherd-pit-bull-mix,4,17
32,australian-terrier,5,10
33,azawakh,3,23
34,barbet,4,20
35,basenji,3,16
36,bassador,3,13
37,basset-fauve-de-bretagne,3,12
38,basset-hound,2,14
39,basset-retriever,4,10
40,bavarian-mountain-scent-hound,4,17
41,beabull,4,12
42,beagle,5,13
43,beaglier,4,12
44,bearded-collie,4,20
45,bedlington-terrier,4,15
46,belgian-malinois,5,22
47,belgian-sheepdog,5,22
48,belgian-tervuren,4,21
49,berger-picard,5,21
50,bernedoodle,4,10
51,bernese-mountain-dog,4,23
52,bichon-frise,4,9
53,biewer-terrier,4,7
54,black-and-tan-coonhound,5,23
55,black-mouth-cur,4,16
56,black-russian-terrier,5,26
57,bloodhound,4,23
58,blue-lacy,5,17
59,bluetick-coonhound,5,23
60,bocker,4,12
61,boerboel,4,22
62,boglen-terrier,5,12
63,bolognese,3,9
64,borador,4,19
65,border-collie,5,18
66,border-sheepdog,4,16
67,border-terrier,5,10
68,bordoodle,3,12
69,borzoi,2,26
70,boshih,3,12
71,bossie,5,15
72,boston-boxer,4,15
73,boston-terrier,5,12
74,bouvier-des-flandres,4,23
75,boxer,5,21
76,boxerdoodle,4,10
77,boxmatian,5,19
78,boxweiler,4,21
79,boykin-spaniel,5,14
80,bracco-italiano,4,22
81,braque-du-bourbonnais,4,18
82,briard,4,22
83,brittany,5,17
84,broholmer,3,22
85,brussels-griffon,4,7
86,bugg,3,14
87,bull-terrier,5,21
88,bullboxer-pit,5,16
89,bulldog,3,12
90,bullmastiff,4,24
91,bullmatian,4,11
92,cairn-terrier,5,9
93,canaan-dog,4,19
94,cane-corso,4,23
95,cardigan-welsh-corgi,3,10
96,catahoula-bulldog,5,24
97,catahoula-leopard-dog,4,20
98,caucasian-shepherd-dog,3,24
99,cav-a-jack,4,10
100,cavachon,4,12
101,cavador,4,18
102,cavalier-king-charles-spaniel,4,12
103,cavapoo,3,9
104,cesky-terrier,3,10
105,chabrador,4,18
106,cheagle,4,9
107,chesapeake-bay-retriever,5,21
108,chi-chi,4,5
109,chi-poo,3,5
110,chigi,4,7
111,chihuahua,3,6
112,chilier,4,8
113,chinese-crested,2,11
114,chinese-shar-pei,2,18
115,chinook,3,21
116,chion,3,5
117,chipin,4,8
118,chiweenie,4,6
119,chorkie,4,6
120,chow-chow,2,17
121,chow-shepherd,5,22
122,chug,4,10
123,chusky,4,18
124,cirneco-delletna,3,17
125,clumber-spaniel,3,17
126,cockalier,4,12
127,cockapoo,4,15
128,cocker-spaniel,3,14
129,collie,3,22
130,corgi-inu,4,9
131,corgidor,4,12
132,corman-shepherd,4,12
133,coton-de-tulear,3,8
134,curly-coated-retriever,4,23
135,dachsador,4,15
136,dachshund,3,8
137,dalmatian,5,19
138,dandie-dinmont-terrier,3,8
139,daniff,4,27
140,deutscher-wachtelhund,4,18
141,doberdor,5,24
142,doberman-pinscher,4,24
143,docker,3,9
144,dogo-argentino,4,23
145,dogue-de-bordeaux,3,23
146,dorgi,4,9
147,dorkie,2,5
148,doxiepoo,4,8
149,doxle,5,5
150,drentsche-patrijshond,4,21
151,drever,4,12
152,dutch-shepherd,4,21
153,english-cocker-spaniel,4,15
154,english-foxhound,5,25
155,english-setter,4,23
156,english-springer-spaniel,5,18
157,english-toy-spaniel,3,10
158,entlebucher-mountain-dog,5,16
159,estrela-mountain-dog,3,24
160,eurasier,3,20
161,field-spaniel,5,16
162,finnish-lapphund,5,17
163,finnish-spitz,5,15
164,flat-coated-retriever,5,22
165,fox-terrier,5,15
166,french-bulldog,4,11
