,Name,Address,lat,lon
0,RYAN PLAY AREA (ROBERT F. RYAN PLAY AREA),960 Dorchester Avenue,42.3081005,-71.0583189
1,MARTIN PLAYGROUND (FIRE CHIEF JOHN A. MARTIN PLAYGROUND),95 Myrtlebank Avenue,42.28023998088319,-71.05314570775435
2,FRIEDA GARCIA PARK,95 Clarendon Street,42.347064333333336,-71.0733165
3,HARAMBEE PARK,930 Blue Hill Avenue,42.2921432,-71.0879854
4,RONAN PARK,92 Mt Ida Road,42.30557419354839,-71.06454361290322
5,FALLON FIELD,910 South Street,42.288437125,-71.1355495
6,CALDWELL STREET PLAY AREA,9 Caldwell Street,42.38566342857143,-71.0775787142857
7,NOYES PARK (JOHN H. L. NOYES PARK),86 Boardman Street,42.388876100000004,-71.01083406436169
8,HOBART PARK,85 Hobart Street,42.35552275,-71.16204016666667
9,HORATIO HARRIS PARK,85 Harold Street,42.31829152487144,-71.08928363219795
10,RINGER PLAYGROUND (STANLEY A. RINGER PLAYGROUND),85 Allston Street,42.350576818181814,-71.13615231818181
11,CHILDREN'S PARK,81 Intervale Street,42.31053,-71.077637
12,JOYCE PLAYGROUND (WM. F. JOYCE PLAYGROUND),80 Union Street,42.37355296,-71.06640524
13,LAVISCOUNT PARK (REV. SAMUEL L. LAVISCOUNT PARK),80 Humboldt Avenue,42.3177845,-71.0862006
14,CHRISTOPHER F. LEE PLAYGROUND,775 East First Street,42.3381753,-71.0338095
15,MEDAL OF HONOR PARK,775 East First Street,42.3381753,-71.0338095
16,CUNEO PARK,765 Saratoga Street,42.383678857142854,-71.01717514285714
17,O'DAY PLAYGROUND (THOMAS F. O'DAY PLAYGROUND),75 West Newton Street,42.34048399935591,-71.0754678067575
18,RYAN PLAYGROUND (JOHN J. RYAN PLAYGROUND),75 Alford Street,42.385573,-71.07234402109115
19,ERNST CHERY JR. PLAYGROUND,74 Orlando Street,42.27424412091229,-71.09928114276799
20,MCKINNEY PLAYGROUND,74 Faneuil Street,42.35549998601789,-71.15316474355143
21,CARTER PLAYGROUND (WM. E. CARTER PLAYGROUND),709 Columbus Ave,42.33670037037037,-71.08747477777777
22,PUTMAN SQUARE,70 Putnam Street,42.330056484741434,-71.0890357182979
23,HOWES PLAYGROUND (GERTRUDE HOWES PLAYGROUND),68 Moreland Street,42.32393510583701,-71.07933158331375
